# G10 §H golden baselines — background pipeline
# texture size 512, default tolerance 30, fill #EE3333
# picture | variant | out bytes | ms | sha256 | vs baseline
1_transparent.png | off | 150860 | 401 | c851e40cff3d7faff44559d9bfbe84ec50bc3863108651527e44ae77f56e0c1b | identical
1_transparent.png | edges | 140835 | 210 | a2dd464593e85a58fec712bf42ccc705037953bc4bbeb80ba2bc3a8956469b80 | identical
1_transparent.png | closed | 140835 | 217 | a2dd464593e85a58fec712bf42ccc705037953bc4bbeb80ba2bc3a8956469b80 | identical
1_transparent.png | smart | 143643 | 207 | 975b39a8a7e82fd4e5c340587adf57038aefa5137179adfb5410e2d95291a659 | identical
1_transparent.png | edges_fill | 143585 | 158 | 05deb05b04f95ce16556ff8a8e4a4e2ba9f15cf257fb01ba2e174c01e244476c | identical
1_transparent.png | setbg | 140968 | 166 | 58484be7e2c23ab50874fbae1b58082e9966bcbf18ec097c34bc99d1b124767f | identical
1_transparent.png | variant | 149599 | 149 | c49c73d15ac01f74d549a9c0d7926a12d64ef9ffa2cd80c36b4038f8039d5217 | identical
2_chrome_logo.png | off | 128791 | 347 | ae12718b6593c674d9ce625adced0e582167a8a0c7346ce6b7854f167223198a | identical
2_chrome_logo.png | edges | 127117 | 525 | 9ef6c8a4c9bd7bbf0368c7b4d20127ee56f0f6ebcde9266b67f6df7810e6d1e5 | identical
2_chrome_logo.png | closed | 127117 | 685 | 9ef6c8a4c9bd7bbf0368c7b4d20127ee56f0f6ebcde9266b67f6df7810e6d1e5 | identical
2_chrome_logo.png | smart | 128686 | 1388 | 4dec8357b11396804016f4030f9bb67aa615a060c916842bef604b5d76b99b96 | identical
2_chrome_logo.png | edges_fill | 128731 | 1021 | 235db7b0be5e17e934b9ef75f658bd04a9cb3f0ce2d658e784f458da63190968 | identical
2_chrome_logo.png | setbg | 127931 | 1048 | 7468bf992efd86c5b5834d32927d0989888186f09f1c33a5feffa44f76a6fc5f | identical
2_chrome_logo.png | variant | 129901 | 1104 | e3c68ba8373bffd03633b05ad788cd21e08e634e17a8e8aa0663d8917f1efb8c | identical
3_tux.png | off | 142575 | 202 | 8b18c2e4eeb79daffc65ef0104d22d8104557403529f059131de2e863da77096 | identical
3_tux.png | edges | 121879 | 171 | 4eb7565413a27daf7921b1bf4621eb7fee28b99184f77fd3a328edf9d70d4632 | identical
3_tux.png | closed | 121879 | 194 | 4eb7565413a27daf7921b1bf4621eb7fee28b99184f77fd3a328edf9d70d4632 | identical
3_tux.png | smart | 142504 | 164 | 60f06f3564cf677cd543d25adf8d0446f02a79026477347201a7aebfbe60abeb | identical
3_tux.png | edges_fill | 143818 | 204 | e22c53fce3d3f0f1d5787b10e8f50064f3584134f26a88a15b820f30dfb47443 | identical
3_tux.png | setbg | 145477 | 216 | 6b5bb2c84bbbfd48e4052b456936c54afeefeec18439c0f0d14a83484bd6b1c4 | identical
3_tux.png | variant | 153352 | 171 | 00c66a34d6b156864e0f6f1f5e7f6c07e1f4272b9d195df5a1fadd8468e14d50 | identical
4_chrome_jpeg.jpg | off | 141654 | 416 | c6c4b9849bc588a5a6c66e9a67cf769531ea6dbc220a786978f1aec6e9f2b1fe | identical
4_chrome_jpeg.jpg | edges | 138667 | 423 | a28943a2dc0646fbfce5a3f1ba29f1e32efcdc0e8bed607d415f899ee83a38de | identical
4_chrome_jpeg.jpg | closed | 138667 | 572 | a28943a2dc0646fbfce5a3f1ba29f1e32efcdc0e8bed607d415f899ee83a38de | identical
4_chrome_jpeg.jpg | smart | 140797 | 590 | 7850a03e654b63ebd1a1c3b0fd60910585050377011dd7f675675b2809badc1a | identical
4_chrome_jpeg.jpg | edges_fill | 140797 | 541 | 7850a03e654b63ebd1a1c3b0fd60910585050377011dd7f675675b2809badc1a | identical
4_chrome_jpeg.jpg | setbg | 139708 | 542 | 5687bf9617c19f83aa7741def4ac39ee857c3b9cb578556abf9e45afc7d4a15d | identical
4_chrome_jpeg.jpg | variant | 143488 | 456 | 779166d3584c24f5824ce912857744d1225965b65ec7e9f1a1f73ebb82c40b1f | identical
5_periodic_table.png | off | 163920 | 3767 | e3f7419a118e854b527a5706091ac5612392100e45eb518e5e1a067c5946d03d | identical
5_periodic_table.png | edges | 143960 | 9601 | 133d2930929a2009e04089f62a2ff1e05551ad06cf914c8782ca82c7f0a581d8 | identical
5_periodic_table.png | closed | 143417 | 8236 | e78178dbef6ab1be8bc0871b7672bed4543d378dc535f4c0d5ab7910c4816018 | identical
5_periodic_table.png | smart | 108695 | 9681 | 87b5a6851532882ffcbd4e4f13ef1ea3b29c32a536d60a933670ff4a30e985bd | identical
5_periodic_table.png | edges_fill | 147410 | 9603 | e23ff8ee6d1c9219c2b58151591bca96786449a7ea2cfedc7ca816afda8170ce | identical
5_periodic_table.png | setbg | 150472 | 9705 | 83b4ea05cae4bd81195c12bf8c5198bd873c6a6f05163e0e3f8b7c5a960145da | identical
5_periodic_table.png | variant | 156635 | 10367 | ed27b7637e11f11eb8bd608af37fe2b8db2f4e40f9771e33e71ccd8121245154 | identical
6_stripes.png | off | 3083 | 226 | adce1e0e614b75757a3b81ab6faf8a39d9c24fddc950ab34c88599baa5198264 | identical
6_stripes.png | edges | 2973 | 472 | e90a92c225d502df3b81a9636fda99493a2e873b7b63b9745e90e162c5ce768b | identical
6_stripes.png | closed | 2973 | 411 | e90a92c225d502df3b81a9636fda99493a2e873b7b63b9745e90e162c5ce768b | identical
6_stripes.png | smart | 2329 | 454 | 42280bae707291e6bffa47f41f389dbb190f64e79e490c7b0a3f90f22cd583e8 | identical
6_stripes.png | edges_fill | 3163 | 383 | 386498c5a1abc73b577b856ecf0a2f32288d9837c54946200682ae598228a353 | identical
6_stripes.png | setbg | 3080 | 282 | 47d996902a3377f0ec65d439f0c4a21369cfffc182b40c494d524d148b4977a5 | identical
6_stripes.png | variant | 3138 | 361 | 9cf985157c1e09b105d35041efea4041ad8d265a4626829ce80f1057efe294ca | identical
7_letter_o.jpg | off | 67722 | 743 | 4d768ce1c843baad51d792f6ed7f4d40b1d7917fb28d2d7f1f7a4522144cb238 | identical
7_letter_o.jpg | edges | 51476 | 863 | 2d2a5853377e1c92388f9c4f49e1305943e28be953ea2a3120de46d415fcdd74 | identical
7_letter_o.jpg | closed | 28081 | 910 | fd50b59d08761bb87ce2f1932f2da845d4a455d668ed241a329f46fbe6fcbcbe | identical
7_letter_o.jpg | smart | 31788 | 851 | d3c7766b7d3b894e2286d5ead9255a5711e89a2161f96d97b08de2ed881efefa | identical
7_letter_o.jpg | edges_fill | 53769 | 801 | 625c7d77f7a1233b91a0c59319d58c2549feae9c4dd4f01666bf852ca56305b8 | identical
7_letter_o.jpg | setbg | 51614 | 828 | 169d9937b3667d0bf41a95bd11c2b2dd4eb837ad5697776dabada6a8cdb497bd | identical
7_letter_o.jpg | variant | 55959 | 697 | 451ad459dbce2a4ea0658d855ffe48336426836960b9cd82688d354ecf5cc792 | identical
